ledger_ref,type
TXN00032,amount_discrepancy
TXN00033,amount_discrepancy
TXN00034,amount_discrepancy
TXN00035,amount_discrepancy
TXN00036,amount_discrepancy
TXN00037,amount_discrepancy
TXN00038,date_shift
TXN00039,date_shift
TXN00040,date_shift
TXN00041,date_shift
TXN00042,date_shift
TXN00043,description_mismatch
TXN00044,description_mismatch
TXN00045,description_mismatch
TXN00046,description_mismatch
TXN00047-A,split_transaction
TXN00048-A,split_transaction
TXN00049-A,split_transaction
TXN00050,missing_from_bank
TXN00051,missing_from_bank
TXN00052,missing_from_bank
TXN00053,bank_duplicate
TXN00054,bank_duplicate
TXN00055,bank_duplicate
