date,amount,category,description
2026-03-02,8679.67,SaaS subscriptions,SaaS subscriptions — 02 Mar
2026-03-02,6964.31,Consulting fees,Consulting fees — 02 Mar
2026-03-02,-7591.03,Payroll,Payroll — 02 Mar
2026-03-02,-2139.59,Marketing,Marketing — 02 Mar
2026-03-02,-1087.32,Infrastructure,Infrastructure — 02 Mar
2026-03-02,639.57,Misc income,Misc income — 02 Mar
2026-03-03,10742.54,SaaS subscriptions,SaaS subscriptions — 03 Mar
2026-03-03,5871.82,Consulting fees,Consulting fees — 03 Mar
2026-03-03,-7844.88,Payroll,Payroll — 03 Mar
2026-03-03,-2026.93,Marketing,Marketing — 03 Mar
2026-03-03,-1384.33,Infrastructure,Infrastructure — 03 Mar
2026-03-03,705.47,Misc income,Misc income — 03 Mar
2026-03-04,9243.42,SaaS subscriptions,SaaS subscriptions — 04 Mar
2026-03-04,4740.56,Consulting fees,Consulting fees — 04 Mar
2026-03-04,-7752.35,Payroll,Payroll — 04 Mar
2026-03-04,-1526.52,Marketing,Marketing — 04 Mar
2026-03-04,-857.37,Infrastructure,Infrastructure — 04 Mar
2026-03-04,283.28,Misc income,Misc income — 04 Mar
2026-03-05,6712.1,SaaS subscriptions,SaaS subscriptions — 05 Mar
2026-03-05,5475.63,Consulting fees,Consulting fees — 05 Mar
2026-03-05,-7807.88,Payroll,Payroll — 05 Mar
2026-03-05,-1577.0,Marketing,Marketing — 05 Mar
2026-03-05,-1157.67,Infrastructure,Infrastructure — 05 Mar
2026-03-05,332.69,Misc income,Misc income — 05 Mar
2026-03-06,8480.61,SaaS subscriptions,SaaS subscriptions — 06 Mar
2026-03-06,5952.38,Consulting fees,Consulting fees — 06 Mar
2026-03-06,-8071.73,Payroll,Payroll — 06 Mar
2026-03-06,-1351.62,Marketing,Marketing — 06 Mar
2026-03-06,-1057.17,Infrastructure,Infrastructure — 06 Mar
2026-03-06,138.52,Misc income,Misc income — 06 Mar
2026-03-07,7995.83,SaaS subscriptions,SaaS subscriptions — 07 Mar
2026-03-07,3517.59,Consulting fees,Consulting fees — 07 Mar
2026-03-07,-7451.6,Payroll,Payroll — 07 Mar
2026-03-07,-2186.36,Marketing,Marketing — 07 Mar
2026-03-07,-671.08,Infrastructure,Infrastructure — 07 Mar
2026-03-07,942.45,Misc income,Misc income — 07 Mar
2026-03-08,8946.17,SaaS subscriptions,SaaS subscriptions — 08 Mar
2026-03-08,5401.95,Consulting fees,Consulting fees — 08 Mar
2026-03-08,-7988.38,Payroll,Payroll — 08 Mar
2026-03-08,-1940.34,Marketing,Marketing — 08 Mar
2026-03-08,-1366.88,Infrastructure,Infrastructure — 08 Mar
2026-03-08,648.47,Misc income,Misc income — 08 Mar
